2020-02-21 20:39:45,664 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g d~ > xd xd~ b~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,670 |    pack.madgraph.run |   INFO | b'INFO: Processing color information for process: g d~ > xd xd~ b~ DMV<=2 @1'
2020-02-21 20:39:45,671 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g s~ > xd xd~ s~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,676 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g s~ > xd xd~ s~ DMV<=2 @1'
2020-02-21 20:39:45,677 |    pack.madgraph.run |   INFO | b'INFO: Combined process g b > xd xd~ d DMV<=2 WEIGHTED<=5 @1 with process g d > xd xd~ b DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,678 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g b > xd xd~ b DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,683 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g b > xd xd~ b DMV<=2 @1'
2020-02-21 20:39:45,684 |    pack.madgraph.run |   INFO | b'INFO: Combined process g b~ > xd xd~ d~ DMV<=2 WEIGHTED<=5 @1 with process g d~ > xd xd~ b~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,685 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g b~ > xd xd~ b~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,690 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g b~ > xd xd~ b~ DMV<=2 @1'
2020-02-21 20:39:45,691 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: u u~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,697 |    pack.madgraph.run |   INFO | b'INFO: Processing color information for process: u u~ > xd xd~ g DMV<=2 @1'
2020-02-21 20:39:45,698 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: c c~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,703 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: c c~ > xd xd~ g DMV<=2 @1'
2020-02-21 20:39:45,704 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: d d~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,709 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: d d~ > xd xd~ g DMV<=2 @1'
2020-02-21 20:39:45,710 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: d b~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,716 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: d b~ > xd xd~ g DMV<=2 @1'
2020-02-21 20:39:45,717 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: s s~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,722 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: s s~ > xd xd~ g DMV<=2 @1'
2020-02-21 20:39:45,722 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: d~ b > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,728 |    pack.madgraph.run |   INFO | b'INFO: Processing color information for process: d~ b > xd xd~ g DMV<=2 @1'
2020-02-21 20:39:45,729 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: b b~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,734 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: b b~ > xd xd~ g DMV<=2 @1'
2020-02-21 20:39:45,735 |    pack.madgraph.run |   INFO | b'INFO: Creating files in directory P1_gq_xdxdxq'
2020-02-21 20:39:45,759 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g u > xd xd~ u DMV<=2 WEIGHTED<=5 @1'
